file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,1,css,2af04027,selinaz154,2025-01-15,12:38:49,-08:00,2025-01-15T12:38:49-08:00,0,6
style.css,2,css,3d12392a,selinaz154,2025-01-15,12:31:37,-08:00,2025-01-15T12:31:37-08:00,0,32
style.css,3,css,3ceb368b,selinaz154,2025-01-15,22:08:56,-08:00,2025-01-15T22:08:56-08:00,0,38
style.css,4,css,3ceb368b,selinaz154,2025-01-15,22:08:56,-08:00,2025-01-15T22:08:56-08:00,0,33
style.css,5,css,6c489e70,selinaz154,2025-01-24,13:51:35,-08:00,2025-01-24T13:51:35-08:00,0,40
style.css,6,css,8aecd498,selinaz154,2025-01-23,13:58:31,-08:00,2025-01-23T13:58:31-08:00,0,0
style.css,7,css,8aecd498,selinaz154,2025-01-23,13:58:31,-08:00,2025-01-23T13:58:31-08:00,0,17
style.css,8,css,8aecd498,selinaz154,2025-01-23,13:58:31,-08:00,2025-01-23T13:58:31-08:00,0,23
style.css,9,css,8aecd498,selinaz154,2025-01-23,13:58:31,-08:00,2025-01-23T13:58:31-08:00,0,0
style.css,10,css,2af04027,selinaz154,2025-01-15,12:38:49,-08:00,2025-01-15T12:38:49-08:00,0,0
style.css,11,css,13b7145f,selinaz154,2025-01-13,21:03:23,-08:00,2025-01-13T21:03:23-08:00,0,0
style.css,12,css,fafe5307,selinaz154,2025-01-15,00:34:58,-08:00,2025-01-15T00:34:58-08:00,0,0
style.css,13,css,8aecd498,selinaz154,2025-01-23,13:58:31,-08:00,2025-01-23T13:58:31-08:00,0,0
style.css,14,css,44ccc484,selinaz154,2025-01-06,15:12:02,-08:00,2025-01-06T15:12:02-08:00,0,5
style.css,15,css,44ccc484,selinaz154,2025-01-06,15:12:02,-08:00,2025-01-06T15:12:02-08:00,0,24
style.css,16,css,2720e362,selinaz154,2025-01-13,16:55:10,-08:00,2025-01-13T16:55:10-08:00,0,16
